;mack;date_publish;price_adjustment;price_closing;rate_of_change;gdkl_kl;gdkl_gt;gdtt_kl;gdtt_gt;price_open;price_highest;price_lowest
163;CMX;2021-08-27;12.45;13.70;0.15 (1.11 %);339.5;4594000000;0;0;13.10;13.80;13.10
164;CMX;2021-08-30;13.05;14.35;0.65 (4.74 %);913.1;13078000000;0;0;13.70;14.65;13.70
165;CMX;2021-08-31;13.59;14.95;0.60 (4.18 %);1.897.800;28055000000;0;0;14.40;15.25;14.40
166;CMX;2021-09-01;13.77;15.15;0.20 (1.34 %);1.163.800;17406000000;0;0;15.00;15.25;14.70
167;CMX;2021-09-06;13.86;15.25;0.10 (0.66 %);1.354.400;20818000000;0;0;15.20;15.80;15.10
168;CMX;2021-09-07;13.00;14.30;-0.95 (-6.23 %);1.323.200;19668000000;0;0;15.35;15.35;14.25
169;CMX;2021-09-08;12.55;13.80;-0.50 (-3.50 %);819;11341000000;0;0;14.30;14.30;13.70
170;CMX;2021-09-09;12.86;14.15;0.35 (2.54 %);551.4;7579000000;0;0;13.80;14.20;13.50
171;CMX;2021-09-10;12.91;14.20;0.05 (0.35 %);380.2;5475000000;0;0;14.15;14.80;13.80
172;CMX;2021-09-13;12.68;13.95;-0.25 (-1.76 %);344.8;4814000000;0;0;14.00;14.25;13.80
173;CMX;2021-09-14;12.50;13.75;-0.20 (-1.43 %);360.7;4962000000;0;0;13.80;13.95;13.50
174;CMX;2021-09-15;12.55;13.80;0.05 (0.36 %);982.6;13376000000;0;0;13.75;14.10;13.40
175;CMX;2021-09-16;12.64;13.90;0.10 (0.72 %);345.3;4825000000;0;0;14.20;14.20;13.80
176;CMX;2021-09-17;12.68;13.95;0.05 (0.36 %);416.9;5812000000;0;0;13.90;14.20;13.70
177;CMX;2021-09-20;12.36;13.60;-0.35 (-2.51 %);551.6;7586000000;0;0;13.90;13.95;13.55
178;CMX;2021-09-21;12.36;13.60;0.00 (0.00 %);553.8;7476000000;0;0;13.50;13.70;13.30
